MiniApp,API,GroundTruth,MiniDroid,TaintMini,GroundTruth_Pages,MiniDroid_Pages,TaintMini_Pages
wxf6539b695e8334a1,wx.saveVideoToPhotosAlbum,4,3,1,"['pages/main/active/anniversary/index/index', 'pages/main/find/find', 'pages/main/goodsDetailsShare/goodsDetailsShare', 'pages/main/allMater/allMater']","['pages/main/active/anniversary/index/index', 'pages/main/goodsDetailsShare/goodsDetailsShare', 'pages/main/allMater/allMater']",['main/active/anniversary/index/index']
wxf6539b695e8334a1,wx.saveImageToPhotosAlbum,17,17,0,"['pages/main/find/find', 'pages/main/goodsDetailsShare/goodsDetailsShare', 'pages/main/activityShare/activityShare', 'pages/main/inviteShare/inviteShare', 'pages/main/exclusiveService/exclusiveService', 'pages/main/storeDetails/storeDetails', 'pages/main/inviteNewcomer/inviteNewcomer', 'pages/main/livePlayer/livePlayer', 'pages/main/jdGift/jdGift', 'pages/main/active/bwCash/bwCash', 'pages/main/commonActive/textActive/textActive', 'pages/main/commonActive/listActive/listActive', 'pages/main/ytRedBag/index/index', 'pages/main/commonActive/meetActive/meetActive', 'pages/main/huoye/huoye', 'pages/main/active/anniversary/dispersing/dispersing', 'pages/main/allMater/allMater']","['pages/main/find/find', 'pages/main/goodsDetailsShare/goodsDetailsShare', 'pages/main/activityShare/activityShare', 'pages/main/inviteShare/inviteShare', 'pages/main/exclusiveService/exclusiveService', 'pages/main/storeDetails/storeDetails', 'pages/main/inviteNewcomer/inviteNewcomer', 'pages/main/livePlayer/livePlayer', 'pages/main/jdGift/jdGift', 'pages/main/active/bwCash/bwCash', 'pages/main/commonActive/textActive/textActive', 'pages/main/commonActive/listActive/listActive', 'pages/main/ytRedBag/index/index', 'pages/main/commonActive/meetActive/meetActive', 'pages/main/huoye/huoye', 'pages/main/active/anniversary/dispersing/dispersing', 'pages/main/allMater/allMater']",[]
wx8caf59a239eb0a8e,wx.getLocation,2,2,2,"['pages/nearbylist/nearbylist', 'pages/drawnearbylist/drawnearbylist']","['pages/nearbylist/nearbylist', 'pages/drawnearbylist/drawnearbylist']","['nearbylist/nearbylist', 'drawnearbylist/drawnearbylist']"
wx8caf59a239eb0a8e,wx.chooseImage,5,5,5,"['pages/index/index', 'pages/userfeedback/userfeedback', 'pages/PComment/PComment', 'pages/navigationpage/navigationpage', 'pages/SecondaryPage/SecondaryPage']","['pages/index/index', 'pages/userfeedback/userfeedback', 'pages/PComment/PComment', 'pages/navigationpage/navigationpage', 'pages/SecondaryPage/SecondaryPage']","['index/index', 'PComment/PComment', 'SecondaryPage/SecondaryPage', 'userfeedback/userfeedback', 'navigationpage/navigationpage']"
wx8caf59a239eb0a8e,wx.getUserInfo,1,1,0,['pages/smashgoldeneggs/smashgoldeneggs'],['pages/smashgoldeneggs/smashgoldeneggs'],[]
wx8caf59a239eb0a8e,wx.chooseAddress,1,1,0,['pages/UserCenter/UserCenter'],['pages/UserCenter/UserCenter'],[]
wx8caf59a239eb0a8e,wx.saveImageToPhotosAlbum,11,7,1,"['pages/productdetail/productdetail', 'pages/fightgroupsdetail/fightgroupsdetail', 'pages/Receivetails/Receivetails', 'pages/endorsement/endorsement', 'pages/orderdetail/orderdetail', 'pages/favorableorderdetail/favorableorderdetail', 'pages/bargain/bargain', 'pages/bargainDetail/bargainDetail', 'pages/orderMessageDetail/orderMessageDetail', 'pages/Popularitycharts/Popularitycharts', 'server/productdetail/productdetail']","['pages/productdetail/productdetail', 'pages/endorsement/endorsement', 'pages/orderdetail/orderdetail', 'pages/bargain/bargain', 'pages/bargainDetail/bargainDetail', 'pages/orderMessageDetail/orderMessageDetail', 'pages/Popularitycharts/Popularitycharts']",['Popularitycharts/Popularitycharts']
wx9344ae98b33d71cd,wx.saveImageToPhotosAlbum,7,4,4,"['pages/goods/goods', 'pages/goodt/goodt', 'pages/card/card', 'pages/miaosha/details/details', 'pages/pt/details/details', 'pages/pt/group/details', 'pages/book/details/details']","['pages/goods/goods', 'pages/goodt/goodt', 'pages/card/card', 'pages/miaosha/details/details']","['card/card', 'goods/goods', 'miaosha/details/details', 'goodt/goodt']"
wx9344ae98b33d71cd,wx.getLocation,2,2,2,"['pages/shop/shop', 'pages/book/shop/shop']","['pages/shop/shop', 'pages/book/shop/shop']","['book/shop/shop', 'shop/shop']"
wx9344ae98b33d71cd,wx.chooseImage,7,7,7,"['pages/order-refund/order-refund', 'pages/order-comment/order-comment', 'pages/miaosha/order-comment/order-comment', 'pages/miaosha/order-refund/order-refund', 'pages/pt/order-comment/order-comment', 'pages/pt/order-refund/order-refund', 'pages/book/order-comment/order-comment']","['pages/order-refund/order-refund', 'pages/order-comment/order-comment', 'pages/miaosha/order-comment/order-comment', 'pages/miaosha/order-refund/order-refund', 'pages/pt/order-comment/order-comment', 'pages/pt/order-refund/order-refund', 'pages/book/order-comment/order-comment']","['pt/order-refund/order-refund', 'book/order-comment/order-comment', 'miaosha/order-refund/order-refund', 'miaosha/order-comment/order-comment', 'order-refund/order-refund', 'order-comment/order-comment', 'pt/order-comment/order-comment']"
wx9344ae98b33d71cd,wx.chooseAddress,2,2,2,"['pages/address-edit/address-edit', 'pages/address-picker/address-picker']","['pages/address-edit/address-edit', 'pages/address-picker/address-picker']","['address-picker/address-picker', 'address-edit/address-edit']"
wx9344ae98b33d71cd,wx.chooseLocation,4,4,4,"['pages/order-submit/order-submit', 'pages/miaosha/order-submit/order-submit', 'pages/pt/order-submit/order-submit', 'pages/integral-mall/order-submit/index']","['pages/order-submit/order-submit', 'pages/miaosha/order-submit/order-submit', 'pages/pt/order-submit/order-submit', 'pages/integral-mall/order-submit/index']","['integral-mall/order-submit/index', 'miaosha/order-submit/order-submit', 'order-submit/order-submit', 'pt/order-submit/order-submit']"
wx7833284ba00b6a64,wx.getLocation,4,4,3,"['pages/store/store', 'pages/purchase/purchase', 'pages/purchase/purchase_info/purchase_info', 'pages/address/address_edit/address_edit']","['pages/store/store', 'pages/purchase/purchase', 'pages/purchase/purchase_info/purchase_info', 'pages/address/address_edit/address_edit']","['address/address_edit/address_edit', 'store/store', 'purchase/purchase_info/purchase_info']"
wx7833284ba00b6a64,wx.chooseImage,1,0,0,['pages/member/member_infor/member_infor'],[],[]
wx7833284ba00b6a64,wx.getUserInfo,1,0,0,['app'],[],[]
wx7833284ba00b6a64,wx.chooseAddress,2,2,2,"['pages/purchase/purchase_info/purchase_info', 'pages/address/address']","['pages/purchase/purchase_info/purchase_info', 'pages/address/address']","['purchase/purchase_info/purchase_info', 'address/address']"
wx7833284ba00b6a64,wx.getUserProfile,2,2,2,"['pages/member/member', 'pages/member/register/register']","['pages/member/member', 'pages/member/register/register']","['member/register/register', 'member/member']"
wx99717e68e6fc4244,wx.saveImageToPhotosAlbum,1,1,0,['pages/productDetail/index'],['pages/productDetail/index'],[]
wx8f15d3b484a1d8aa,wx.getUserInfo,1,1,1,['pages/infodetial/infodetial'],['pages/infodetial/infodetial'],['infodetial/infodetial']
wx8f15d3b484a1d8aa,wx.saveImageToPhotosAlbum,7,4,4,"['pages/goods/goods', 'pages/goodt/goodt', 'pages/card/card', 'pages/miaosha/details/details', 'pages/pt/details/details', 'pages/pt/group/details', 'pages/book/details/details']","['pages/goods/goods', 'pages/goodt/goodt', 'pages/card/card', 'pages/miaosha/details/details']","['card/card', 'goods/goods', 'miaosha/details/details', 'goodt/goodt']"
wx8f15d3b484a1d8aa,wx.getLocation,2,2,2,"['pages/shop/shop', 'pages/book/shop/shop']","['pages/shop/shop', 'pages/book/shop/shop']","['book/shop/shop', 'shop/shop']"
wx8f15d3b484a1d8aa,wx.chooseImage,9,9,9,"['pages/edit/edit', 'pages/chats/chats', 'pages/order-refund/order-refund', 'pages/order-comment/order-comment', 'pages/miaosha/order-comment/order-comment', 'pages/miaosha/order-refund/order-refund', 'pages/pt/order-comment/order-comment', 'pages/pt/order-refund/order-refund', 'pages/book/order-comment/order-comment']","['pages/edit/edit', 'pages/chats/chats', 'pages/order-refund/order-refund', 'pages/order-comment/order-comment', 'pages/miaosha/order-comment/order-comment', 'pages/miaosha/order-refund/order-refund', 'pages/pt/order-comment/order-comment', 'pages/pt/order-refund/order-refund', 'pages/book/order-comment/order-comment']","['chats/chats', 'pt/order-refund/order-refund', 'book/order-comment/order-comment', 'miaosha/order-refund/order-refund', 'miaosha/order-comment/order-comment', 'order-comment/order-comment', 'order-refund/order-refund', 'edit/edit', 'pt/order-comment/order-comment']"
wx8f15d3b484a1d8aa,wx.chooseAddress,2,2,2,"['pages/address-edit/address-edit', 'pages/address-picker/address-picker']","['pages/address-edit/address-edit', 'pages/address-picker/address-picker']","['address-picker/address-picker', 'address-edit/address-edit']"
wx8f15d3b484a1d8aa,wx.chooseLocation,5,5,5,"['pages/edit/edit', 'pages/order-submit/order-submit', 'pages/miaosha/order-submit/order-submit', 'pages/pt/order-submit/order-submit', 'pages/integral-mall/order-submit/index']","['pages/edit/edit', 'pages/order-submit/order-submit', 'pages/miaosha/order-submit/order-submit', 'pages/pt/order-submit/order-submit', 'pages/integral-mall/order-submit/index']","['miaosha/order-submit/order-submit', 'order-submit/order-submit', 'edit/edit', 'integral-mall/order-submit/index', 'pt/order-submit/order-submit']"
